Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","47665","London","Westminster","A3217","PU","528600","179260","Eccleston St","Grosvenor Place","0.18","84","103","1399","10","162","43","2","0","1","1","2","50","1724"
"2000","47729","London","Westminster","A4207","PU","525000","181660","A404","A4206","0.8","383","204","3668","463","593","53","6","4","2","0","0","65","4993"
"2000","47730","London","Westminster","A4209","PU","527000","181280","Bayswater Rd","A5/A501","0.62","185","179","3330","161","341","93","5","2","1","0","0","102","4113"
"2000","47788","London","Westminster","A5205","PU","527001","182750","A5","A41","0.49","105","134","3134","26","413","108","11","3","3","2","2","128","3836"
"2000","47874","London","Westminster","A400","PU","530000","180670","Trafalgar Sq","A401","0.37","153","234","1592","129","304","45","4","3","0","0","0","53","2312"
"2000","48009","London","Westminster","A3214","PU","528900","179200","Grosvenor Gardens / Victoria Street","Lower Grosvenor Place / Bressender Place","0.12","24","45","438","74","46","10","1","0","0","0","0","11","613"
"2000","48010","London","Westminster","A5204","PU","528500","181330","A41","A4201","0.62","274","378","3817","13","419","128","7","1","5","1","1","142","4769"
"2000","48251","London","Westminster","A501","PU","527270","181770","A5","Old Marylebone Rd","0.24","51","365","5417","57","881","232","25","24","7","7","3","299","7018"
"2000","48517","London","Westminster","A4","PU","530070","180460","Northumberland Ave","St Martins Pl","0.06","21","58","683","46","92","15","1","1","0","0","0","18","897"
"2000","48552","London","Westminster","A3211","PU","531000","180790","A400","LA Boundary","0.62","217","917","14128","384","1359","299","40","47","5","3","2","396","17183"
"2000","48553","London","Westminster","A302","PU","530239","179670","Parliament Square","A3211","0.12","119","227","1563","58","188","43","4","3","1","0","0","50","2086"
"2000","48576","London","Westminster","A3216","PU","528561","177902","LA Boundary","A3212 Grosvenor Rd","0.06","38","40","746","22","132","25","2","1","1","1","1","31","970"
"2000","48577","London","Westminster","A301","PU","530650","180750","A4","LA Boundary","0.18","251","243","2697","143","275","74","3","1","0","0","0","78","3437"
"2000","48578","London","Westminster","A302","PU","530393","179673","LA Boundary","A3211","0.12","60","101","1526","74","197","27","2","0","0","0","0","30","1927"
"2000","48613","London","Westminster","A4","PU","530840","181050","A301","Strand","0.12","36","100","1230","112","148","66","2","2","1","0","1","72","1662"
"2000","48821","London","Westminster","A3213","PU","529300","178500","A3214","A202","0.8","70","76","3469","175","517","99","14","5","12","11","6","147","4384"
"2000","56117","London","Westminster","A4","PU","530810","180940","Aldwych","Aldwych","0.24","138","283","2916","178","494","89","5","1","1","0","0","97","3968"
"2000","56431","London","Westminster","A40","PU","529080","181250","Regent St","Great Portland St","0.06","65","16","205","37","23","3","0","0","0","0","0","4","285"
"2000","56433","London","Westminster","A3214","PU","528800","179000","A3213","Victoria St","0.18","43","70","938","84","100","15","2","1","1","0","0","18","1211"
